127.0.0.1 - - [12/Nov/2015:21:29:12 +0100] "GET / HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /favicon.ico HTTP/1.1" 404 983
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/pages/login.jsf HTTP/1.1" 200 3615
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/style_log.css.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=css HTTP/1.1" 200 1360
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/resources/images/logo_nombre.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/watermark/watermark.js.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=primefaces HTTP/1.1" 200 5340
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/primefaces.js.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=primefaces HTTP/1.1" 200 233831
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/watermark/watermark.css.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=primefaces HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/jquery/jquery.js.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=primefaces HTTP/1.1" 200 105210
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/javax.faces.resource/primefaces.css.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A?ln=primefaces HTTP/1.1" 200 50561
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/resources/images/fondo_mates.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:33 +0100] "GET /matesclass/pages/favicon.ico HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:38 +0100] "POST /matesclass/pages/login.jsf;jsessionid=BFA1042C5773DAB828FE42D17124D20A HTTP/1.1" 200 2017
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:38 +0100] "GET /matesclass/resources/images/logros/logro1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Nov/2015:21:29:38 +0100] "GET /matesclass/resources/images/logros/logro2.png HTTP/1.1" 304 -
